Folder,Status,PDFs Found,PDFs Copied
CY4CUPB4,processed,1,1
D2TV76KN,processed,1,1
CUB7ZV9E,processed,1,1
CZJFM3G4,processed,1,1
CY755I5A,processed,1,1
D48PUJUX,no_pdfs,0,0
CUPYR43F,processed,1,1
D39UWLKB,processed,1,1
D5DA9TNT,processed,1,1
D5I26BAB,processed,1,1
D5KJKSWY,no_pdfs,0,0
D2S8CDPH,processed,1,1
D5VQ5P8K,no_pdfs,0,0
D5ZBH27N,no_pdfs,0,0
D6V7UQ4Z,no_pdfs,0,0
D8PZQBH2,no_pdfs,0,0
D5MFICUM,processed,1,1
D9GS68VF,processed,1,1
D79GS6T8,processed,1,1
D9JSVPQ8,processed,1,1
D9U27VY3,processed,1,1
D7BHHXTW,processed,1,1
D6AHPTFC,processed,1,1
DBQXN9GR,processed,1,1
DDJBNY23,no_pdfs,0,0
DDXACSP9,no_pdfs,0,0
D6FB86AF,processed,1,1
DBSUI5GG,processed,1,1
DEGZN774,no_pdfs,0,0
DEK4JBK2,no_pdfs,0,0
DEG95LTR,processed,1,1
DCGKSGJZ,processed,1,1
DGAE8LGI,no_pdfs,0,0
DDB7MWMZ,processed,1,1
DEG5VXY7,processed,1,1
DDNFPUQP,processed,1,1
DGGM3CKQ,no_pdfs,0,0
DFJXRPRW,processed,1,1
DGDZIRZS,processed,1,1
DHCL5WUM,processed,1,1
DHZJSPX5,processed,1,1
DMMTJMZQ,processed,1,1
DHIB9DRG,processed,1,1
DJZTZNID,processed,1,1
DNMT87BB,processed,1,1
DGZUCRVC,processed,1,1
DKT7YCGA,processed,1,1
DJ4NV2WQ,processed,1,1
DPYTJR4B,processed,1,1
DPEHCVF5,processed,1,1
DQLZC9SQ,no_pdfs,0,0
DSG4YEHN,no_pdfs,0,0
DN3FQ6L5,processed,1,1
DSZUTPGQ,no_pdfs,0,0
DPCQ359J,processed,1,1
DSHEJ69J,processed,1,1
DVNDUJWZ,no_pdfs,0,0
DUW7IC4M,no_pdfs,0,0
DQ7QWBSJ,processed,1,1
DWLCMM4C,no_pdfs,0,0
DUAYYKRG,no_pdfs,0,0
DRS2W3NB,processed,1,1
DW4XT5HR,processed,1,1
DW7C4PMC,processed,1,1
DXZUCRVU,processed,1,1
DZ74V57T,no_pdfs,0,0
DZ8KKST7,no_pdfs,0,0
DY9NYGWE,processed,1,1
E357EAWV,no_pdfs,0,0
DZ4N8DPN,processed,1,1
DNL4QIQW,processed,1,1
E3XTKT8G,no_pdfs,0,0
